Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.02     0.00    32805     0.00     0.00  glm::detail::tvec3<float, (glm::precision)0> glm::normalize<float, (glm::precision)0>(glm::detail::tvec3<float, (glm::precision)0> const&)
  0.00      0.02     0.00    32805     0.00     0.00  VDeleter<VkSemaphore_T*>::operator VkSemaphore_T*() const
  0.00      0.02     0.00    32805     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
  0.00      0.02     0.00    32805     0.00     0.00  std::sqrt(float)
  0.00      0.02     0.00    21893     0.00     0.00  VDeleter<VkBuffer_T*>::operator VkBuffer_T*() const
  0.00      0.02     0.00    21880     0.00     0.00  VDeleter<VkDeviceMemory_T*>::operator VkDeviceMemory_T*() const
  0.00      0.02     0.00    21875     0.00     0.00  VDeleter<VkCommandPool_T*>::operator VkCommandPool_T*() const
  0.00      0.02     0.00    21873     0.00     0.00  VDeleter<VkSwapchainKHR_T*>::operator VkSwapchainKHR_T*() const
  0.00      0.02     0.00    21870     0.00     0.00  glm::detail::tvec3<float, (glm::precision)0> glm::cross<float, (glm::precision)0>(glm::detail::tvec3<float, (glm::precision)0> const&, glm::detail::tvec3<float, (glm::precision)0> const&)
  0.00      0.02     0.00    21870     0.00     0.00  glm::detail::tmat4x4<float, (glm::precision)0>::tmat4x4(glm::detail::tmat4x4<float, (glm::precision)0>::ctor)
  0.00      0.02     0.00    21870     0.00     0.00  glm::detail::tmat4x4<float, (glm::precision)0>::tmat4x4(float const&)
  0.00      0.02     0.00    21870     0.00     0.00  float glm::radians<float>(float const&)
  0.00      0.02     0.00    21870     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.00      0.02     0.00    10962     0.00     0.00  std::vector<VkCommandBuffer_T*, std::allocator<VkCommandBuffer_T*> >::operator[](unsigned long)
  0.00      0.02     0.00    10937     0.00     0.00  HelloTriangleApplication::copyBuffer(VkBuffer_T*, VkBuffer_T*, unsigned long)
  0.00      0.02     0.00    10935     0.00     0.00  HelloTriangleApplication::updateUniformBuffer()
  0.00      0.02     0.00    10935     0.00     0.00  glm::detail::tmat4x4<float, (glm::precision)0> glm::perspective<float>(float const&, float const&, float const&, float const&)
  0.00      0.02     0.00    10935     0.00     0.00  float glm::cos<float>(float const&)
  0.00      0.02     0.00    10935     0.00     0.00  float glm::sin<float>(float const&)
  0.00      0.02     0.00    10935     0.00     0.00  float glm::tan<float>(float const&)
  0.00      0.02     0.00    10935     0.00     0.00  glm::detail::tvec3<float, (glm::precision)0> glm::detail::operator-<float, (glm::precision)0>(glm::detail::tvec3<float, (glm::precision)0> const&, glm::detail::tvec3<float, (glm::precision)0> const&)
  0.00      0.02     0.00    10935     0.00     0.00  glm::detail::tvec3<float, (glm::precision)0> glm::detail::operator*<float, (glm::precision)0>(float const&, glm::detail::tvec3<float, (glm::precision)0> const&)
  0.00      0.02     0.00    10935     0.00     0.00  glm::detail::tmat4x4<float, (glm::precision)0> glm::lookAt<float, (glm::precision)0>(glm::detail::tvec3<float, (glm::precision)0> const&, glm::detail::tvec3<float, (glm::precision)0> const&, glm::detail::tvec3<float, (glm::precision)0> const&)
  0.00      0.02     0.00    10935     0.00     0.00  glm::detail::tmat4x4<float, (glm::precision)0> glm::rotate<float, (glm::precision)0>(glm::detail::tmat4x4<float, (glm::precision)0> const&, float const&, glm::detail::tvec3<float, (glm::precision)0> const&)
  0.00      0.02     0.00    10935     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> >::count() const
  0.00      0.02     0.00    10935     0.00     0.00  std::numeric_limits<unsigned long>::max()
  0.00      0.02     0.00    10935     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1000l> > >::value, std::chrono::duration<long, std::ratio<1l, 1000l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1000l> >, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.02     0.00    10935     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1000l> >, std::ratio<1l, 1000000l>, long, true, false>::__cast<long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.02     0.00    10935     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, void>(long const&)
  0.00      0.02     0.00    10935     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> >::duration<long, void>(long const&)
  0.00      0.02     0.00    10935     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&)
  0.00      0.02     0.00    10935     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.02     0.00    10935     0.00     0.00  std::cos(float)
  0.00      0.02     0.00    10935     0.00     0.00  std::sin(float)
  0.00      0.02     0.00    10935     0.00     0.00  std::tan(float)
  0.00      0.02     0.00      261     0.00     0.00  std::remove_reference<bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>::type&& std::move<bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>(bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation))
  0.00      0.02     0.00      261     0.00     0.00  std::remove_reference<std::_Any_data&>::type&& std::move<std::_Any_data&>(std::_Any_data&)
  0.00      0.02     0.00      198     0.00     0.00  std::_Any_data::_M_access()
  0.00      0.02     0.00      186     0.00     0.00  std::_Function_base::_Function_base()
  0.00      0.02     0.00      186     0.00     0.00  std::_Function_base::~_Function_base()
  0.00      0.02     0.00      107     0.00     0.00  std::_Function_base::_M_empty() const
  0.00      0.02     0.00      107     0.00     0.00  std::_Any_data::_M_access() const
  0.00      0.02     0.00       87     0.00     0.00  void std::swap<bool (*)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>(bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation), bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation))
  0.00      0.02     0.00       87     0.00     0.00  void std::swap<std::_Any_data>(std::_Any_data&, std::_Any_data&)
  0.00      0.02     0.00       80     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.02     0.00       66     0.00     0.00  VkAllocationCallbacks*&& std::forward<VkAllocationCallbacks*>(std::remove_reference<VkAllocationCallbacks*>::type&)
  0.00      0.02     0.00       62     0.00     0.00  VkDevice_T*&& std::forward<VkDevice_T*>(std::remove_reference<VkDevice_T*>::type&)
  0.00      0.02     0.00       36     0.00     0.00  std::remove_reference<void (*&)(std::_Any_data const&, VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*)>::type&& std::move<void (*&)(std::_Any_data const&, VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*)>(void (*&)(std::_Any_data const&, VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*))
  0.00      0.02     0.00       36     0.00     0.00  std::remove_reference<void (*&)(std::_Any_data const&, VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*)>::type&& std::move<void (*&)(std::_Any_data const&, VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*)>(void (*&)(std::_Any_data const&, VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*))
  0.00      0.02     0.00       25     0.00     0.00  std::_Rb_tree_iterator<std::string>::_Rb_tree_iterator(std::_Rb_tree_node<std::string>*)
  0.00      0.02     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<VkLayerProperties*, std::vector<VkLayerProperties, std::allocator<VkLayerProperties> > >::base() const
  0.00      0.02     0.00       24     0.00     0.00  std::_Maybe_unary_or_binary_function<void, VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*>::_Maybe_unary_or_binary_function()
  0.00      0.02     0.00       24     0.00     0.00  std::_Maybe_unary_or_binary_function<void, VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*>::_Maybe_unary_or_binary_function()
  0.00      0.02     0.00       24     0.00     0.00  std::function<void (VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*)>::~function()
  0.00      0.02     0.00       24     0.00     0.00  std::function<void (VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*)>::~function()
  0.00      0.02     0.00       24     0.00     0.00  VkBuffer_T*&& std::forward<VkBuffer_T*>(std::remove_reference<VkBuffer_T*>::type&)
  0.00      0.02     0.00       24     0.00     0.00  VkDeviceMemory_T*&& std::forward<VkDeviceMemory_T*>(std::remove_reference<VkDeviceMemory_T*>::type&)
  0.00      0.02     0.00       20     0.00     0.00  std::initializer_list<float>::begin() const
  0.00      0.02     0.00       19     0.00     0.00  std::vector<char const*, std::allocator<char const*> >::size() const
  0.00      0.02     0.00       18     0.00     0.00  std::_Function_base::_Base_manager<void (*)(VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks const*)>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.02     0.00       18     0.00     0.00  std::_Function_base::_Base_manager<void (*)(VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks const*)>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.02     0.00       18     0.00     0.00  std::remove_reference<void (*&)(VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks const*)>::type&& std::move<void (*&)(VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks const*)>(void (*&)(VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks const*))
  0.00      0.02     0.00       18     0.00     0.00  std::remove_reference<void (*&)(VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks const*)>::type&& std::move<void (*&)(VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks const*)>(void (*&)(VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks const*))
  0.00      0.02     0.00       18     0.00     0.00  std::remove_reference<void (*&)(std::_Any_data const&, VkBuffer_T*)>::type&& std::move<void (*&)(std::_Any_data const&, VkBuffer_T*)>(void (*&)(std::_Any_data const&, VkBuffer_T*))
  0.00      0.02     0.00       18     0.00     0.00  std::remove_reference<void (*&)(std::_Any_data const&, VkDeviceMemory_T*)>::type&& std::move<void (*&)(std::_Any_data const&, VkDeviceMemory_T*)>(void (*&)(std::_Any_data const&, VkDeviceMemory_T*))
  0.00      0.02     0.00       18     0.00     0.00  std::remove_reference<VDeleter<VkBuffer_T*>::VDeleter(VDeleter<VkDevice_T*> const&, std::function<void (VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*)>)::{lambda(VkBuffer_T*)#1}&>::type&& std::move<VDeleter<VkBuffer_T*>::VDeleter(VDeleter<VkDevice_T*> const&, std::function<void (VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*)>)::{lambda(VkBuffer_T*)#1}&>(std::remove_reference&&)
  0.00      0.02     0.00       18     0.00     0.00  std::remove_reference<VDeleter<VkDeviceMemory_T*>::VDeleter(VDeleter<VkDevice_T*> const&, std::function<void (VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*)>)::{lambda(VkDeviceMemory_T*)#1}&>::type&& std::move<VDeleter<VkDeviceMemory_T*>::VDeleter(VDeleter<VkDevice_T*> const&, std::function<void (VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*)>)::{lambda(VkDeviceMemory_T*)#1}&>(std::remove_reference&&)
  0.00      0.02     0.00       18     0.00     0.00  VDeleter<VkBuffer_T*>::VDeleter(VDeleter<VkDevice_T*> const&, std::function<void (VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*)>)::{lambda(VkBuffer_T*)#1}::~function()
  0.00      0.02     0.00       18     0.00     0.00  VDeleter<VkDeviceMemory_T*>::VDeleter(VDeleter<VkDevice_T*> const&, std::function<void (VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*)>)::{lambda(VkDeviceMemory_T*)#1}::~function()
  0.00      0.02     0.00       17     0.00     0.00  std::_Rb_tree_const_iterator<std::string>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::string> const&)
  0.00      0.02     0.00       15     0.00     0.00  VDeleter<VkSurfaceKHR_T*>::operator VkSurfaceKHR_T*() const
  0.00      0.02     0.00       15     0.00     0.00  std::vector<VkPresentModeKHR, std::allocator<VkPresentModeKHR> >::size() const
  0.00      0.02     0.00       15     0.00     0.00  std::vector<VkSurfaceFormatKHR, std::allocator<VkSurfaceFormatKHR> >::size() const
  0.00      0.02     0.00       15     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_M_end()
  0.00      0.02     0.00       15     0.00     0.00  char const* const& std::forward<char const* const&>(std::remove_reference<char const* const&>::type&)
  0.00      0.02     0.00       13     0.00     0.00  __gnu_cxx::__normal_iterator<VkLayerProperties*, std::vector<VkLayerProperties, std::allocator<VkLayerProperties> > >::operator*() const
  0.00      0.02     0.00       13     0.00     0.00  std::vector<VkCommandBuffer_T*, std::allocator<VkCommandBuffer_T*> >::size() const
  0.00      0.02     0.00       12     0.00     0.00  VDeleter<VkBuffer_T*>::cleanup()
  0.00      0.02     0.00       12     0.00     0.00  VDeleter<VkDeviceMemory_T*>::cleanup()
  0.00      0.02     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<VkQueueFamilyProperties*, std::vector<VkQueueFamilyProperties, std::allocator<VkQueueFamilyProperties> > >::__normal_iterator(VkQueueFamilyProperties* const&)
  0.00      0.02     0.00       12     0.00     0.00  bool __gnu_cxx::operator!=<VkLayerProperties*, std::vector<VkLayerProperties, std::allocator<VkLayerProperties> > >(__gnu_cxx::__normal_iterator<VkLayerProperties*, std::vector<VkLayerProperties, std::allocator<VkLayerProperties> > > const&, __gnu_cxx::__normal_iterator<VkLayerProperties*, std::vector<VkLayerProperties, std::allocator<VkLayerProperties> > > const&)
  0.00      0.02     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<VkPresentModeKHR const*, std::vector<VkPresentModeKHR, std::allocator<VkPresentModeKHR> > >::base() const
  0.00      0.02     0.00       12     0.00     0.00  std::vector<VkImage_T*, std::allocator<VkImage_T*> >::size() const
  0.00      0.02     0.00       12     0.00     0.00  void (* const&std::_Any_data::_M_access<void (*)(VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks const*)>() const)(VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks const*)
  0.00      0.02     0.00       12     0.00     0.00  void (* const&std::_Any_data::_M_access<void (*)(VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks const*)>() const)(VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks const*)
  0.00      0.02     0.00       12     0.00     0.00  std::_Function_base::_Base_manager<void (*)(VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks const*)>::_M_destroy(std::_Any_data&, std::integral_constant<bool, true>)
  0.00      0.02     0.00       12     0.00     0.00  std::_Function_base::_Base_manager<void (*)(VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks const*)>::_M_destroy(std::_Any_data&, std::integral_constant<bool, true>)
  0.00      0.02     0.00       12     0.00     0.00  std::unary_function<VkBuffer_T*, void>::unary_function()
  0.00      0.02     0.00       12     0.00     0.00  std::unary_function<VkDeviceMemory_T*, void>::unary_function()
  0.00      0.02     0.00       12     0.00     0.00  std::_Maybe_unary_or_binary_function<void, VkBuffer_T*>::_Maybe_unary_or_binary_function()
  0.00      0.02     0.00       12     0.00     0.00  std::_Maybe_unary_or_binary_function<void, VkDeviceMemory_T*>::_Maybe_unary_or_binary_function()
  0.00      0.02     0.00       12     0.00     0.00  std::function<void (VkBuffer_T*)>::~function()
  0.00      0.02     0.00       12     0.00     0.00  std::function<void (VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*)>::swap(std::function<void (VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*)>&)
  0.00      0.02     0.00       12     0.00     0.00  std::function<void (VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*)>::function(std::function<void (VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*)>&&)
  0.00      0.02     0.00       12     0.00     0.00  std::function<void (VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*)>::swap(std::function<void (VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*)>&)
  0.00      0.02     0.00       12     0.00     0.00  std::function<void (VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*)>::function(std::function<void (VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*)>&&)
  0.00      0.02     0.00       12     0.00     0.00  std::function<void (VkDeviceMemory_T*)>::~function()
  0.00      0.02     0.00       12     0.00     0.00  void (*&std::_Any_data::_M_access<void (*)(VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks const*)>())(VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks const*)
  0.00      0.02     0.00       12     0.00     0.00  void (*&std::_Any_data::_M_access<void (*)(VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks const*)>())(VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks const*)
  0.00      0.02     0.00       12     0.00     0.00  VDeleter<VkBuffer_T*>::VDeleter(VDeleter<VkDevice_T*> const&, std::function<void (VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*)>)::{lambda(VkBuffer_T*)#1}*& std::_Any_data::_M_access<VDeleter<VkBuffer_T*>::VDeleter(VDeleter<VkDevice_T*> const&, std::function<void (VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*)>)::{lambda(VkBuffer_T*)#1}*>()
  0.00      0.02     0.00       12     0.00     0.00  VDeleter<VkDeviceMemory_T*>::VDeleter(VDeleter<VkDevice_T*> const&, std::function<void (VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*)>)::{lambda(VkDeviceMemory_T*)#1}*& std::_Any_data::_M_access<VDeleter<VkDeviceMemory_T*>::VDeleter(VDeleter<VkDevice_T*> const&, std::function<void (VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*)>)::{lambda(VkDeviceMemory_T*)#1}*>()
  0.00      0.02     0.00       12     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.02     0.00       12     0.00     0.00  std::remove_reference<void (*&)(std::_Any_data const&, VkDevice_T*, VkSemaphore_T*, VkAllocationCallbacks*)>::type&& std::move<void (*&)(std::_Any_data const&, VkDevice_T*, VkSemaphore_T*, VkAllocationCallbacks*)>(void (*&)(std::_Any_data const&, VkDevice_T*, VkSemaphore_T*, VkAllocationCallbacks*))
  0.00      0.02     0.00       12     0.00     0.00  std::remove_reference<void (*&)(std::_Any_data const&, VkDevice_T*, VkShaderModule_T*, VkAllocationCallbacks*)>::type&& std::move<void (*&)(std::_Any_data const&, VkDevice_T*, VkShaderModule_T*, VkAllocationCallbacks*)>(void (*&)(std::_Any_data const&, VkDevice_T*, VkShaderModule_T*, VkAllocationCallbacks*))
  0.00      0.02     0.00       12     0.00     0.00  void std::swap<void (*)(std::_Any_data const&, VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*)>(void (*&)(std::_Any_data const&, VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*), void (*&)(std::_Any_data const&, VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*))
  0.00      0.02     0.00       12     0.00     0.00  void std::swap<void (*)(std::_Any_data const&, VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*)>(void (*&)(std::_Any_data const&, VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*), void (*&)(std::_Any_data const&, VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*))
  0.00      0.02     0.00       12     0.00     0.00  VkImageView_T*&& std::forward<VkImageView_T*>(std::remove_reference<VkImageView_T*>::type&)
  0.00      0.02     0.00       12     0.00     0.00  VkFramebuffer_T*&& std::forward<VkFramebuffer_T*>(std::remove_reference<VkFramebuffer_T*>::type&)
  0.00      0.02     0.00       12     0.00     0.00  VDeleter<VkBuffer_T*>::VDeleter(VDeleter<VkDevice_T*> const&, std::function<void (VkDevice_T*, VkBuffer_T*, VkAllocationCallbacks*)>)::{lambda(VkBuffer_T*)#1}::function({lambda(VkBuffer_T*)#1}&&)
  0.00      0.02     0.00       12     0.00     0.00  VDeleter<VkDeviceMemory_T*>::VDeleter(VDeleter<VkDevice_T*> const&, std::function<void (VkDevice_T*, VkDeviceMemory_T*, VkAllocationCallbacks*)>)::{lambda(VkDeviceMemory_T*)#1}::function({lambda(VkDeviceMemory_T*)#1}&&)
  0.00      0.02     0.00       11     0.00     0.00  __gnu_cxx::__normal_iterator<VkLayerProperties*, std::vector<VkLayerProperties, std::allocator<VkLayerProperties> > >::operator++()
  0.00      0.02     0.00       11     0.00     0.00  __gnu_cxx::new_allocator<char const*>::max_size() const
  0.00      0.02     0.00       11     0.00     0.00  std::vector<VDeleter<VkImageView_T*>, std::allocator<VDeleter<VkImageView_T*> > >::size() const
  0.00      0.02     0.00       11     0.00     0.00  std::_Iter_base<char const**, false>::_S_base(char const**)
  0.00      0.02     0.00       11     0.00     0.00  std::_Vector_base<char const*, std::allocator<char const*> >::_M_get_Tp_allocator()
  0.00      0.02     0.00       11     0.00     0.00  std::_Niter_base<char const**>::iterator_type std::__niter_base<char const**>(char const**)
  0.00      0.02     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<VkExtensionProperties*, std::vector<VkExtensionProperties, std::allocator<VkExtensionProperties> > >::base() const
  0.00      0.02     0.00       10     0.00     0.00  std::_Vector_base<VkPresentModeKHR, std::allocator<VkPresentModeKHR> >::_M_get_Tp_allocator()
  0.00      0.02     0.00       10     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_M_begin()
  0.00      0.02     0.00        9     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::size() const
  0.00      0.02     0.00        9     0.00     0.00  std::_Iter_base<VkPresentModeKHR*, false>::_S_base(VkPresentModeKHR*)
  0.00      0.02     0.00        9     0.00     0.00  std::_Function_base::_Base_manager<void (*)(VkDevice_T*, VkImageView_T*, VkAllocationCallbacks const*)>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.02     0.00        9     0.00     0.00  std::_Function_base::_Base_manager<void (*)(VkDevice_T*, VkFramebuffer_T*, VkAllocationCallbacks const*)>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.02     0.00        9     0.00     0.00  std::__array_traits<VkVertexInputAttributeDescription, 2ul>::_S_ref(VkVertexInputAttributeDescription const (&) [2], unsigned long)
  0.00      0.02     0.00        9     0.00     0.00  std::_Rb_tree_iterator<int>::_Rb_tree_iterator(std::_Rb_tree_node<int>*)
  0.00      0.02     0.00        9     0.00     0.00  std::_Niter_base<VkPresentModeKHR*>::iterator_type std::__niter_base<VkPresentModeKHR*>(VkPresentModeKHR*)
  0.00      0.02     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<VkQueueFamilyProperties>::~new_allocator()
  0.00      0.02     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<VkQueueFamilyProperties*, std::vector<VkQueueFamilyProperties, std::allocator<VkQueueFamilyProperties> > >::base() const
